country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter
IND,7,Male,25,Not immigrant,1,5,3,8,1,5.04,2
IND,6,Male,28,Not immigrant,2,8,7,8,3,3.76,3
IND,8,Male,41,Not immigrant,2,7,2,2,1,5.68,3
IND,3,Male,24,Not immigrant,1,5,3,9,1,2.96,1
IND,10,Female,52,Not immigrant,2,6,2,1,1,5.2,1
IND,5,Female,19,Not immigrant,0,3,6,10,1,6.0,1
IND,5,Female,40,Not immigrant,2,10,3,10,4,6.64,3
IND,10,Female,70,Not immigrant,1,7,0,7,1,6.96,3
IND,3,Female,39,Not immigrant,2,3,0,4,4,5.98,1
IND,7,Male,17,Not immigrant,0,5,3,7,3,5.68,0
IND,8,Male,17,Not immigrant,0,8,3,8,2,6.64,0
IND,10,Male,16,Not immigrant,0,3,3,10,2,6.45,3
IND,6,Female,16,Not immigrant,0,7,3,9,1,7.34,0
IND,6,Female,59,Not immigrant,4,3,1,10,1,6.33,3
IND,10,Female,24,Not immigrant,1,8,6,10,1,5.28,3
IND,7,Female,17,Not immigrant,0,6,3,8,3,5.84,0
IND,10,Female,52,Not immigrant,3,10,2,5,1,6.4,3
IND,10,Female,17,Not immigrant,0,1,3,10,1,5.8,0
IND,7,Female,34,Not immigrant,3,7,6,7,1,6.24,3
IND,8,Female,17,Not immigrant,0,3,6,10,1,5.31,3
IND,1,Female,16,Not immigrant,0,3,3,9,2,4.88,1
IND,10,Male,18,Not immigrant,0,6,2,10,1,4.96,3
IND,5,Male,44,Not immigrant,2,6,8,8,1,7.04,3
IND,10,Female,47,Not immigrant,4,6,6,10,3,7.8,3
IND,9,Female,17,Not immigrant,0,9,0,9,1,3.44,3
IND,1,Male,23,Not immigrant,1,2,3,3,1,6.24,3
IND,10,Male,61,Not immigrant,4,8,3,7,3,7.52,3
IND,7,Female,59,Not immigrant,3,8,3,9,1,5.36,2
IND,8,Female,58,Not immigrant,2,8,1,9,1,5.08,3
IND,9,Female,30,Not immigrant,3,9,3,6,1,3.04,1
IND,7,Male,53,Not immigrant,5,6,0,6,1,1.92,1
IND,10,Male,30,Not immigrant,1,1,4,10,1,6.4,3
IND,10,Male,28,Not immigrant,3,1,2,10,2,6.4,3
IND,10,Female,42,Not immigrant,2,7,7,10,1,6.08,3
IND,6,Male,23,Not immigrant,0,6,0,5,2,6.6,3
IND,6,Male,36,Not immigrant,2,3,4,8,1,5.92,3
IND,8,Female,20,Not immigrant,0,5,4,6,3,8.08,3
IND,7,Male,16,Not immigrant,0,2,3,8,4,2.96,0
IND,1,Female,34,Not immigrant,2,10,6,7,1,1.84,2
IND,7,Female,27,Not immigrant,0,3,7,10,4,5.68,3
IND,7,Female,34,Not immigrant,2,7,3,8,1,5.36,1
IND,7,Female,33,Not immigrant,2,6,3,10,1,5.52,2
IND,5,Male,16,Not immigrant,0,2,2,5,4,6.4,1
IND,10,Male,16,Not immigrant,0,5,3,2,1,5.84,1
IND,10,Female,35,Not immigrant,0,8,8,7,2,6.56,3
IND,8,Male,17,Not immigrant,0,2,3,10,1,5.36,1
IND,3,Male,16,Not immigrant,0,2,3,8,3,7.39,0
IND,6,Male,67,Not immigrant,4,6,0,10,1,4.64,3
IND,6,Female,40,Not immigrant,2,8,8,8,1,6.48,3
IND,8,Male,42,Not immigrant,3,9,2,9,1,5.44,1
IND,7,Female,22,Not immigrant,0,6,7,7,3,7.52,3
