country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter_2
USA,7,Male,23,Not immigrant,0,8,6,7,2,5.85,1
USA,8,Female,52,Not immigrant,0,5,7,3,4,8.02,0
IND,3,Female,44,Not immigrant,1,4,3,10,3,7.34,1
USA,8,Male,43,Immigrant,1,4,2,10,2,6.72,0
IND,8,Male,30,Not immigrant,1,4,4,4,3,7.77,1
IND,10,Female,17,Not immigrant,0,7,2,10,4,6.66,0
USA,4,Female,66,Not immigrant,4,2,3,10,1,7.4,0
IND,10,Male,30,Not immigrant,0,1,6,10,1,7.21,1
IND,7,Male,21,Not immigrant,0,6,6,8,2,6.72,0
IND,10,Female,54,Not immigrant,2,6,2,10,4,7.52,1
IND,9,Male,20,Not immigrant,4,10,2,8,1,3.87,0
IND,6,Male,30,Not immigrant,3,3,3,10,1,7.21,0
IND,9,Female,16,Not immigrant,0,6,3,6,3,6.66,0
IND,9,Male,24,Not immigrant,0,9,6,9,1,6.9,1
IND,8,Male,17,Not immigrant,0,2,3,10,1,6.41,0
USA,5,Male,38,Not immigrant,4,5,4,8,2,8.02,1
IND,10,Male,25,Not immigrant,0,7,6,10,2,7.71,1
IND,1,Female,16,Not immigrant,0,,1,10,2,6.97,0
IND,8,Male,60,Not immigrant,3,10,3,9,1,6.59,1
IND,9,Male,37,Not immigrant,8,10,3,5,1,3.0,1
USA,2,Female,41,Not immigrant,6,1,4,10,1,7.77,0
IND,9,Female,37,Not immigrant,0,8,3,8,1,6.16,1
IND,8,Female,16,Not immigrant,0,7,3,7,1,7.4,0
USA,9,Female,24,Immigrant,0,5,8,1,4,8.2,0
IND,6,Female,16,Not immigrant,0,3,3,2,2,6.47,1
USA,9,Female,60,Not immigrant,2,10,3,10,2,4.8,1
IND,4,Female,31,Not immigrant,3,3,0,7,1,6.72,1
IND,10,Female,45,Not immigrant,1,1,3,10,3,7.21,1
IND,4,Female,50,Not immigrant,2,5,,10,1,6.28,1
USA,8,Male,70,Not immigrant,1,8,5,6,2,7.34,1
IND,10,Male,17,Not immigrant,0,4,3,10,2,7.46,0
IND,8,Female,36,Not immigrant,1,8,3,9,3,7.03,1
USA,9,Female,72,Not immigrant,2,4,4,10,1,8.02,0
USA,7,Female,56,Not immigrant,1,5,4,8,2,6.97,0
IND,6,Male,38,Not immigrant,5,8,0,9,1,3.99,1
IND,10,Female,28,Not immigrant,0,8,3,10,3,6.53,1
USA,7,Male,20,Not immigrant,0,4,4,8,4,7.21,0
IND,5,Female,28,Not immigrant,2,3,1,5,1,6.41,1
IND,6,Male,27,Not immigrant,2,6,3,7,3,6.72,1
USA,5,Female,21,Not immigrant,1,5,3,5,2,7.52,0
USA,4,Male,33,Not immigrant,1,3,3,10,4,7.03,1
IND,8,Female,58,Not immigrant,3,5,0,9,1,5.23,1
USA,10,Female,49,Not immigrant,4,4,3,10,1,8.69,0
USA,9,Female,53,Not immigrant,0,7,4,10,1,7.96,0
IND,10,Male,16,Not immigrant,0,9,4,9,1,5.98,1
IND,9,Female,40,Not immigrant,2,6,2,10,1,6.41,1
USA,10,Male,42,Not immigrant,2,6,3,10,1,6.47,1
IND,2,Male,22,Not immigrant,0,2,7,2,2,6.72,1
USA,7,Male,42,Not immigrant,0,3,7,8,1,7.15,1
IND,7,Female,26,Not immigrant,1,4,3,4,1,7.21,1
IND,8,Female,55,Not immigrant,8,8,2,6,1,3.07,0
IND,9,Male,17,Not immigrant,0,10,2,3,2,7.58,0
USA,5,Female,23,Not immigrant,2,5,3,3,1,6.53,0
USA,8,Male,27,Not immigrant,0,5,3,8,2,6.47,0
IND,10,Male,17,Not immigrant,0,1,3,7,1,7.21,1
IND,7,Male,17,Not immigrant,0,3,2,9,2,7.72,0
USA,8,Female,33,Not immigrant,3,7,6,10,1,7.21,1
USA,9,Female,56,Not immigrant,0,6,3,10,2,7.28,1
USA,9,Male,65,Not immigrant,3,1,6,9,3,8.2,1
USA,7,Female,30,Not immigrant,0,2,5,10,1,7.21,1
USA,7,Female,68,Not immigrant,2,7,3,10,1,6.53,0
IND,10,Female,17,Not immigrant,0,7,3,10,1,6.66,0
IND,3,Male,36,Not immigrant,1,6,4,6,2,5.17,1
USA,8,Male,57,Not immigrant,3,4,4,9,4,7.83,1
USA,7,Female,46,Not immigrant,1,6,7,1,4,8.7,1
USA,8,Female,23,Immigrant,0,,,6,4,8.39,0
USA,9,Female,28,Not immigrant,1,6,6,5,3,8.14,0
IND,6,Male,16,Not immigrant,0,5,3,10,2,7.56,0
USA,10,Female,66,Not immigrant,3,,3,10,1,7.12,0
USA,8,Male,39,Not immigrant,1,6,6,1,4,8.2,1
